Designator,Mid X,Mid Y,Rotation,Layer
C1,33.6,9.7,90.0,top
C2,34.825,10.075,90.0,top
C3,43.57,8.05,0.0,top
C4,43.57,0.95,0.0,top
C5,33.45,3.75,180.0,top
C6,33.42,7.75,180.0,top
C7,6.6,94.7,180.0,top
C8,6.775,1.7,180.0,top
D1,38.5125,92.75,0.0,top
R1,45.59,90.55,0.0,top
R2,47.5,90.55,180.0,top
R3,36.0125,92.76,180.0,top
R4,9.05,94.4,180.0,top
R5,10.95,94.4,0.0,top
R6,9.35,1.55,0.0,top
R7,11.25,1.55,0.0,top
R8,31.935,2.35,0.0,top
R9,31.945,1.375,180.0,top
U1,15.5775,47.985,270.0,top
U2,46.3,92.8875,180.0,top
U4,38.5,5.0,0.0,top
U5,17.8625,10.225,180.0,top
